X_X,X_Z,Y_X,Y_Z,Z_X,Z_Z,idle_X,idle_Z,n
0.998,0.988,0.97,0.967,0.934,0.667,0.947,0.705,10
1.0,1.0,0.996,1.0,0.995,0.862,0.993,0.912,19
1.0,1.0,1.0,1.0,1.0,0.985,1.0,0.995,38
1.0,1.0,1.0,1.0,1.0,0.999,1.0,1.0,76
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,151
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300
