circuit_basis,accuracy
Y_X,0.1927710843373494
idle_Z,0.2951219512195122
X_X,0.3756476683937824
Y_Z,0.31382978723404253
Z_Z,0.37371134020618557
X_Z,0.28738317757009346
idle_X,0.2805755395683453
Z_X,0.2131578947368421
